                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.86106,                0.74017,                 1.0364,                0.90321,                0.80898,                0.88705,                0.72594,                0.74625,                0.53888,                0.93188,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     65,                0.90441,                0.74119,                 1.0331,                0.90003,                 0.8113,                0.88632,                0.72533,                0.74374,                0.53422,                0.93112,              4.478e-05,              4.478e-05,              4.478e-05
                     66,                0.86171,                0.72517,                 1.0512,                0.89778,                0.81036,                0.88634,                0.72563,                 0.7436,                0.53464,                0.93084,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     67,                0.86564,                0.72778,                  1.043,                  0.902,                0.80907,                0.88622,                0.72552,                0.74354,                0.53782,                0.93066,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     68,                0.83656,                0.70668,                 1.0415,                0.90158,                0.81121,                0.88512,                0.72518,                0.74259,                0.54155,                0.92993,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     69,                0.88185,                0.75722,                  1.042,                0.90335,                0.81106,                0.88475,                0.72713,                0.73872,                0.54005,                0.92886,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     70,                0.81103,                0.68778,                 1.0266,                0.91016,                0.80958,                0.88469,                0.72876,                0.73596,                0.53911,                0.92784,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     71,                0.87511,                 0.7253,                 1.0433,                0.91087,                0.81171,                 0.8864,                0.73171,                0.73449,                0.53785,                0.92711,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.83163,                 0.6853,                 1.0241,                0.91866,                0.80816,                 0.8869,                 0.7328,                0.73298,                 0.5345,                0.92615,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.82234,                0.69071,                 1.0384,                0.91606,                0.81391,                0.88882,                 0.7328,                0.72968,                0.53286,                0.92497,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.80645,                0.66883,                 1.0285,                 0.9049,                0.81784,                0.88957,                0.73553,                0.72753,                0.52935,                0.92413,             3.4177e-05,             3.4177e-05,             3.4177e-05
