                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.2166,                 1.7484,                0.92027,                 1.0651,                0.63685,                0.52088,                0.56114,                0.34444,                0.61595,                0.48192,                0.52082,                0.26709,                 1.1636,                  1.649,                0.90157,                 1.0703,             0.00079381,             0.00079381,             0.00079381
                     34,                 1.2084,                 1.7351,                0.90536,                 1.0579,                0.73509,                0.51075,                0.56685,                0.34777,                0.68993,                0.48102,                0.52661,                0.27247,                 1.1479,                 1.6287,                0.90722,                 1.0683,             0.00079021,             0.00079021,             0.00079021
                     35,                 1.2152,                 1.7387,                0.90587,                 1.0603,                0.65227,                0.53085,                  0.568,                0.34868,                0.64114,                0.48123,                0.52003,                0.26588,                 1.1559,                  1.638,                0.90966,                 1.0705,             0.00078661,             0.00078661,             0.00078661
                     36,                 1.2013,                 1.7166,                0.89477,                  1.053,                0.67021,                0.52521,                0.57347,                0.35296,                0.63997,                0.49488,                0.53431,                0.27868,                 1.1453,                 1.6248,                0.88537,                 1.0604,             0.00078301,             0.00078301,             0.00078301
                     37,                 1.1947,                 1.7004,                0.89039,                 1.0507,                0.72181,                0.51976,                0.57239,                0.35396,                0.71424,                0.48905,                0.53531,                0.27805,                 1.1373,                 1.6168,                0.89396,                 1.0599,             0.00077941,             0.00077941,             0.00077941
                     38,                 1.1951,                 1.7072,                0.88477,                 1.0491,                0.66518,                0.53305,                0.57528,                0.35605,                0.63489,                 0.4908,                0.53138,                0.27678,                 1.1351,                 1.6157,                0.87497,                 1.0593,             0.00077581,             0.00077581,             0.00077581
                     39,                 1.1804,                 1.6822,                0.87753,                 1.0451,                0.68223,                 0.5346,                0.57967,                 0.3589,                0.66973,                0.49528,                0.54187,                0.28396,                 1.1319,                 1.5968,                0.86794,                 1.0599,             0.00077221,             0.00077221,             0.00077221
                     40,                 1.1802,                 1.6773,                0.86997,                 1.0398,                0.69447,                0.53261,                0.58201,                 0.3601,                0.65099,                0.50062,                0.54109,                0.28307,                  1.129,                 1.5938,                0.87726,                 1.0534,             0.00076861,             0.00076861,             0.00076861
                     41,                 1.1755,                 1.6736,                0.86774,                 1.0382,                0.65162,                0.54297,                0.58006,                0.36089,                0.63794,                0.50699,                0.54572,                0.28703,                 1.1276,                 1.5952,                0.87443,                 1.0521,             0.00076501,             0.00076501,             0.00076501
                     42,                 1.1608,                  1.649,                0.84943,                  1.032,                0.67205,                0.54328,                0.58491,                0.36478,                0.64019,                0.50539,                0.54252,                0.28564,                  1.119,                 1.5812,                0.86008,                 1.0525,             0.00076141,             0.00076141,             0.00076141
                     43,                 1.1656,                 1.6472,                0.85593,                 1.0329,                0.69206,                 0.5396,                0.58842,                 0.3657,                0.66763,                0.50457,                 0.5489,                0.28818,                 1.1147,                 1.5779,                0.86361,                 1.0475,             0.00075782,             0.00075782,             0.00075782
                     44,                 1.1529,                 1.6322,                0.84606,                 1.0268,                0.66811,                0.54124,                0.58677,                0.36481,                0.67161,                0.49573,                0.54604,                0.28464,                 1.1238,                 1.5775,                0.85322,                 1.0497,             0.00075422,             0.00075422,             0.00075422
                     45,                 1.1614,                  1.642,                0.85624,                 1.0312,                0.68852,                0.54175,                0.58764,                0.36558,                0.65437,                0.50954,                0.54696,                0.28457,                 1.1193,                 1.5864,                0.86808,                  1.046,             0.00075062,             0.00075062,             0.00075062
                     46,                 1.1502,                 1.6249,                0.83952,                 1.0246,                0.67907,                0.54458,                0.59205,                0.37176,                0.65227,                0.50483,                0.55015,                0.29081,                 1.1048,                  1.557,                0.83632,                  1.044,             0.00074702,             0.00074702,             0.00074702
                     47,                 1.1463,                 1.6205,                0.83027,                 1.0221,                0.67821,                0.55302,                0.59149,                0.36858,                0.65275,                0.50858,                 0.5482,                0.28927,                 1.1129,                 1.5671,                0.85517,                 1.0456,             0.00074342,             0.00074342,             0.00074342
                     48,                 1.1399,                 1.6076,                0.82757,                 1.0195,                0.69526,                 0.5531,                0.59847,                0.37421,                0.66406,                0.51555,                0.55868,                0.29715,                 1.1045,                 1.5509,                 0.8458,                 1.0426,             0.00073982,             0.00073982,             0.00073982
                     49,                 1.1456,                 1.6126,                0.82702,                 1.0183,                0.67184,                0.55548,                0.59191,                0.37229,                0.64335,                0.51896,                0.55306,                0.29232,                 1.1062,                 1.5597,                0.84455,                 1.0407,             0.00073622,             0.00073622,             0.00073622
                     50,                 1.1291,                 1.5931,                0.81557,                 1.0148,                0.68853,                0.54968,                0.59236,                0.37145,                0.66922,                0.51274,                 0.5557,                0.29333,                 1.0989,                 1.5413,                0.84157,                 1.0373,             0.00073262,             0.00073262,             0.00073262
                     51,                 1.1345,                 1.6033,                0.82312,                 1.0157,                0.69082,                 0.5556,                0.59899,                 0.3746,                0.65249,                0.51734,                0.55503,                0.29222,                 1.1019,                 1.5454,                 0.8504,                 1.0377,             0.00072902,             0.00072902,             0.00072902
                     52,                 1.1328,                 1.5925,                0.81389,                 1.0114,                0.69144,                0.55265,                0.60114,                0.37701,                0.66201,                0.51028,                0.55463,                0.29192,                 1.0975,                 1.5432,                0.84052,                 1.0342,             0.00072542,             0.00072542,             0.00072542
