                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.89846,                0.59781,                0.90908,                0.62873,                0.42416,                0.47316,                0.30165,                 1.0662,                0.82969,                0.99527,              0.0001882,              0.0001882,              0.0001882
                     85,                0.89157,                0.59237,                0.90827,                0.64997,                0.41793,                0.47311,                0.30273,                 1.0621,                0.82477,                0.99235,              0.0001783,              0.0001783,              0.0001783
                     86,                0.89402,                0.59186,                0.90696,                0.61699,                0.42141,                0.46958,                0.30173,                 1.0625,                0.82993,                0.99141,              0.0001684,              0.0001684,              0.0001684
                     87,                0.89231,                0.59307,                0.90676,                0.59083,                0.43547,                0.47343,                0.30278,                 1.0622,                 0.8249,                0.98956,              0.0001585,              0.0001585,              0.0001585
                     88,                0.88462,                0.58675,                 0.9052,                0.60441,                0.42752,                0.47169,                0.30174,                 1.0633,                0.82867,                0.99032,              0.0001486,              0.0001486,              0.0001486
                     89,                0.88569,                0.58546,                0.90578,                0.59625,                0.42482,                0.46902,                 0.2996,                 1.0671,                0.83702,                0.99334,              0.0001387,              0.0001387,              0.0001387
                     90,                0.88596,                0.58526,                0.90426,                0.58907,                0.42603,                0.46625,                0.29978,                 1.0637,                0.83784,                0.99282,              0.0001288,              0.0001288,              0.0001288
                     91,                0.89213,                0.57545,                0.90256,                0.61258,                0.40572,                0.45583,                0.29071,                 1.0793,                0.84795,                 0.9992,              0.0001189,              0.0001189,              0.0001189
                     92,                0.88044,                0.56347,                0.89799,                0.59981,                0.40895,                0.45835,                 0.2932,                 1.0764,                0.84358,                0.99998,               0.000109,               0.000109,               0.000109
                     93,                0.87929,                0.56297,                0.89658,                 0.6087,                0.42231,                0.46314,                0.29551,                 1.0736,                0.83794,                0.99751,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.87008,                0.55474,                0.89139,                0.59796,                0.42802,                0.46159,                0.29404,                 1.0748,                0.84122,                 0.9983,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.87392,                0.55647,                0.89567,                0.61918,                0.41864,                0.46677,                0.29681,                 1.0736,                0.83964,                0.99871,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.87163,                0.55227,                0.89263,                0.58507,                0.42675,                0.46319,                0.29382,                 1.0742,                0.84147,                0.99927,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.86815,                0.55053,                0.89236,                0.61577,                0.41872,                0.46452,                0.29544,                 1.0734,                0.83823,                 0.9982,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.86619,                0.55018,                0.89255,                0.60557,                 0.4215,                0.46435,                0.29493,                 1.0735,                0.83799,                0.99843,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.86101,                0.54578,                0.88981,                0.61371,                 0.4172,                0.46358,                0.29513,                 1.0735,                0.83938,                0.99846,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.86076,                0.54508,                 0.8886,                0.59002,                0.42701,                0.46442,                0.29487,                 1.0719,                0.83809,                0.99813,               2.98e-05,               2.98e-05,               2.98e-05
